car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,3,alfa-romero giulia,gas,std,two,convertible,rwd,front,886.0,1688.0,641.0,488.0,2548,dohc,four,130,mpfi,347.0,268.0,9.0,111,5000,21,27,13495.0
2,3,alfa-romero stelvio,gas,std,two,convertible,rwd,front,886.0,1688.0,641.0,488.0,2548,dohc,four,130,mpfi,347.0,268.0,9.0,111,5000,21,27,16500.0
3,1,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,front,945.0,1712.0,655.0,524.0,2823,ohcv,six,152,mpfi,268.0,347.0,9.0,154,5000,19,26,16500.0
4,2,audi 100 ls,gas,std,four,sedan,fwd,front,998.0,1766.0,662.0,543.0,2337,ohc,four,109,mpfi,319.0,34.0,10.0,102,5500,24,30,13950.0
5,2,audi 100ls,gas,std,four,sedan,4wd,front,994.0,1766.0,664.0,543.0,2824,ohc,five,136,mpfi,319.0,34.0,8.0,115,5500,18,22,17450.0
6,2,audi fox,gas,std,two,sedan,fwd,front,998.0,1773.0,663.0,531.0,2507,ohc,five,136,mpfi,319.0,34.0,85.0,110,5500,19,25,15250.0
7,1,audi 100ls,gas,std,four,sedan,fwd,front,1058.0,1927.0,714.0,557.0,2844,ohc,five,136,mpfi,319.0,34.0,85.0,110,5500,19,25,17710.0
8,1,audi 5000,gas,std,four,wagon,fwd,front,1058.0,1927.0,714.0,557.0,2954,ohc,five,136,mpfi,319.0,34.0,85.0,110,5500,19,25,18920.0
9,1,audi 4000,gas,turbo,four,sedan,fwd,front,1058.0,1927.0,714.0,559.0,3086,ohc,five,131,mpfi,313.0,34.0,83.0,140,5500,17,20,23875.0
10,0,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,995.0,1782.0,679.0,52.0,3053,ohc,five,131,mpfi,313.0,34.0,7.0,160,5500,16,22,17859167.0
